epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,698.682,0.79857,0.46804,0.99467,0.97464,0.97384,0.97985,0.75825,0.82776,0.43696,1.00154,0.00144145,0.00144145,0.00144145
43,712.099,0.77626,0.46118,0.98065,0.97081,0.98837,0.98826,0.77525,0.82185,0.42014,1.00955,0.00143595,0.00143595,0.00143595
44,726.805,0.79254,0.45707,0.98751,0.97816,0.98547,0.98558,0.77979,0.80026,0.41301,1.00111,0.00143045,0.00143045,0.00143045
45,743.763,0.77833,0.45862,0.98727,0.96412,0.98388,0.98263,0.76238,0.8551,0.44324,1.03187,0.00142495,0.00142495,0.00142495
46,760.811,0.77038,0.45257,0.97814,0.97438,0.98547,0.99007,0.78737,0.77096,0.39867,0.98313,0.00141945,0.00141945,0.00141945
47,777.648,0.79556,0.45851,0.99045,0.97451,0.98256,0.98303,0.77611,0.81433,0.41016,0.99636,0.00141395,0.00141395,0.00141395
48,794.491,0.78408,0.45315,0.98589,0.97516,0.98547,0.98189,0.76974,0.84375,0.41683,1.01738,0.00140845,0.00140845,0.00140845
49,811.346,0.77675,0.45601,0.98687,0.97274,0.98256,0.98948,0.79912,0.78895,0.40039,0.99999,0.00140295,0.00140295,0.00140295
50,828.187,0.77785,0.45016,0.98151,0.97961,0.96903,0.98564,0.78939,0.76426,0.39991,0.98939,0.00139745,0.00139745,0.00139745
51,844.996,0.76334,0.44904,0.98468,0.97584,0.98547,0.99007,0.79346,0.77514,0.4093,0.98749,0.00139195,0.00139195,0.00139195
52,861.7,0.76536,0.44484,0.98213,0.98576,0.98256,0.99055,0.77523,0.78613,0.40725,0.99754,0.00138644,0.00138644,0.00138644
53,878.512,0.75628,0.44629,0.96784,0.98446,0.97652,0.98771,0.80052,0.76683,0.39725,0.98165,0.00138094,0.00138094,0.00138094
54,895.358,0.77746,0.44942,0.97889,0.98346,0.97384,0.98542,0.77302,0.83136,0.40998,1.00749,0.00137544,0.00137544,0.00137544
55,912.216,0.76578,0.4532,0.97432,0.98382,0.9816,0.98885,0.79107,0.78525,0.39888,0.98871,0.00136994,0.00136994,0.00136994
56,929.037,0.7629,0.43854,0.97279,0.97724,0.98256,0.98326,0.7878,0.79764,0.41123,0.98083,0.00136444,0.00136444,0.00136444
57,945.702,0.76952,0.44336,0.97926,0.97897,0.98553,0.98836,0.80088,0.77979,0.39929,0.98257,0.00135894,0.00135894,0.00135894
58,962.423,0.74572,0.43527,0.97083,0.96694,0.98837,0.98928,0.79249,0.79895,0.40088,0.98497,0.00135344,0.00135344,0.00135344
59,979.121,0.76379,0.44502,0.97687,0.98165,0.98087,0.98904,0.79583,0.76789,0.39269,0.98318,0.00134794,0.00134794,0.00134794
60,995.8,0.74633,0.43219,0.97333,0.9841,0.97357,0.98571,0.78357,0.78821,0.41433,0.98889,0.00134244,0.00134244,0.00134244
61,1012.42,0.74546,0.44338,0.96367,0.97994,0.99128,0.99014,0.80137,0.7721,0.38897,0.9883,0.00133693,0.00133693,0.00133693
62,1029.13,0.74836,0.43435,0.96977,0.97927,0.9911,0.98683,0.7861,0.78692,0.39729,0.99397,0.00133143,0.00133143,0.00133143
63,1045.77,0.74106,0.43192,0.96514,0.98347,0.97733,0.98401,0.79104,0.76669,0.3918,0.98715,0.00132593,0.00132593,0.00132593
64,1062.4,0.73318,0.43084,0.96694,0.98301,0.97384,0.98511,0.78911,0.79944,0.40602,1.00674,0.00132043,0.00132043,0.00132043
65,1078.22,0.76065,0.42939,0.97216,0.97494,0.98269,0.98978,0.79079,0.79356,0.39117,0.99647,0.00131493,0.00131493,0.00131493
66,1091.54,0.74523,0.42761,0.96251,0.97471,0.97965,0.9862,0.79534,0.77687,0.38751,0.98334,0.00130943,0.00130943,0.00130943
67,1104.91,0.74012,0.43133,0.96346,0.97713,0.97674,0.9875,0.79443,0.76647,0.38543,0.97716,0.00130393,0.00130393,0.00130393
68,1119.61,0.75185,0.42552,0.97264,0.9704,0.98547,0.98853,0.79503,0.75989,0.39186,0.9759,0.00129843,0.00129843,0.00129843
69,1136.54,0.73887,0.42618,0.96853,0.97143,0.98837,0.98808,0.78229,0.79267,0.38911,0.99892,0.00129293,0.00129293,0.00129293
70,1153.43,0.72444,0.41168,0.9611,0.98862,0.97674,0.98863,0.79714,0.76005,0.38461,0.98157,0.00128742,0.00128742,0.00128742
71,1170.2,0.75198,0.42208,0.96743,0.97752,0.98256,0.98724,0.79679,0.78778,0.37745,0.99476,0.00128192,0.00128192,0.00128192
72,1186.96,0.7272,0.41727,0.96464,0.97298,0.98449,0.98364,0.79304,0.78658,0.38613,0.99341,0.00127642,0.00127642,0.00127642
73,1203.64,0.72865,0.41363,0.96039,0.9851,0.98256,0.9867,0.79435,0.76526,0.37453,0.99197,0.00127092,0.00127092,0.00127092
74,1220.35,0.72202,0.41252,0.9515,0.98602,0.98547,0.98622,0.79234,0.76173,0.37674,0.98037,0.00126542,0.00126542,0.00126542
75,1237.02,0.71821,0.40892,0.95311,0.96937,0.99336,0.98839,0.80504,0.75179,0.37355,0.9811,0.00125992,0.00125992,0.00125992
76,1253.7,0.71453,0.40614,0.95036,0.97058,0.99128,0.98702,0.7995,0.76897,0.37056,0.99072,0.00125442,0.00125442,0.00125442
77,1268.53,0.71187,0.40902,0.96067,0.97758,0.9725,0.98448,0.77759,0.79342,0.39066,0.98916,0.00124892,0.00124892,0.00124892
78,1281.85,0.72826,0.42004,0.96046,0.97249,0.99128,0.98939,0.80188,0.74076,0.38605,0.97197,0.00124342,0.00124342,0.00124342
79,1295.21,0.70338,0.40635,0.95449,0.98054,0.99128,0.98984,0.80427,0.7506,0.36585,0.97884,0.00123791,0.00123791,0.00123791
80,1310.35,0.71781,0.40581,0.95748,0.97509,0.99419,0.98688,0.79025,0.77652,0.37867,0.98701,0.00123241,0.00123241,0.00123241
81,1327.29,0.70582,0.40046,0.94467,0.98323,0.98256,0.98557,0.80126,0.75402,0.37213,0.97806,0.00122691,0.00122691,0.00122691
82,1344.12,0.71637,0.41587,0.95734,0.968,0.98577,0.98795,0.80469,0.74964,0.38091,0.97771,0.00122141,0.00122141,0.00122141
83,1360.89,0.72655,0.41323,0.96027,0.97249,0.98547,0.98223,0.79286,0.7776,0.38841,0.99361,0.00121591,0.00121591,0.00121591
84,1377.6,0.7142,0.40673,0.9572,0.98374,0.98256,0.98687,0.79833,0.75872,0.36857,0.98757,0.00121041,0.00121041,0.00121041
85,1394.32,0.70131,0.39494,0.94915,0.97786,0.98461,0.98585,0.80322,0.77379,0.37235,0.99138,0.00120491,0.00120491,0.00120491
86,1410.98,0.71218,0.40944,0.95286,0.98391,0.97674,0.98365,0.79659,0.76551,0.36945,0.98129,0.00119941,0.00119941,0.00119941
87,1427.61,0.70452,0.403,0.95696,0.97118,0.98837,0.98446,0.80568,0.75922,0.37724,0.98789,0.00119391,0.00119391,0.00119391
88,1444.27,0.69174,0.39748,0.94808,0.98443,0.98423,0.98847,0.79764,0.76253,0.36035,0.9861,0.0011884,0.0011884,0.0011884
89,1460.9,0.70852,0.39807,0.95376,0.98425,0.97739,0.99014,0.80886,0.75716,0.36823,0.9745,0.0011829,0.0011829,0.0011829
90,1476.66,0.699,0.39634,0.94947,0.96938,0.98776,0.98726,0.80285,0.77633,0.36844,0.98032,0.0011774,0.0011774,0.0011774
91,1490,0.71685,0.40943,0.95479,0.97359,0.97681,0.98704,0.79125,0.76345,0.37372,0.98746,0.0011719,0.0011719,0.0011719
92,1503.37,0.70948,0.39575,0.95731,0.9841,0.97112,0.98377,0.79395,0.761,0.36509,0.98279,0.0011664,0.0011664,0.0011664
93,1517.22,0.70154,0.39278,0.9534,0.96983,0.99419,0.98904,0.79458,0.76736,0.3695,0.98068,0.0011609,0.0011609,0.0011609
94,1534.16,0.70297,0.39393,0.94778,0.97592,0.96802,0.98639,0.80481,0.78276,0.38244,0.98436,0.0011554,0.0011554,0.0011554
95,1551,0.69753,0.39608,0.95197,0.9753,0.98455,0.98439,0.80183,0.7884,0.37289,1.00007,0.0011499,0.0011499,0.0011499
96,1567.78,0.68763,0.39199,0.94635,0.9823,0.9707,0.98544,0.81154,0.75576,0.37457,0.97568,0.0011444,0.0011444,0.0011444
97,1584.52,0.69165,0.39208,0.94663,0.9808,0.98256,0.98965,0.80262,0.76498,0.36572,0.996,0.00113889,0.00113889,0.00113889
98,1601.19,0.691,0.39351,0.94523,0.98562,0.9782,0.98993,0.80896,0.75063,0.36312,0.98021,0.00113339,0.00113339,0.00113339
99,1617.87,0.67867,0.38447,0.94401,0.97088,0.99018,0.98644,0.80864,0.76306,0.36572,0.98897,0.00112789,0.00112789,0.00112789
100,1634.56,0.69161,0.3953,0.95101,0.97537,0.99129,0.9872,0.80005,0.7634,0.37091,0.98644,0.00112239,0.00112239,0.00112239
101,1651.18,0.68402,0.38679,0.95125,0.978,0.97737,0.98598,0.80304,0.75918,0.36975,0.97395,0.00111689,0.00111689,0.00111689
102,1667.79,0.69268,0.3902,0.9434,0.96717,0.99094,0.98784,0.81355,0.74775,0.35915,0.98288,0.00111139,0.00111139,0.00111139
103,1684.48,0.68395,0.38409,0.93796,0.97622,0.97384,0.98763,0.81415,0.76055,0.3601,0.9855,0.00110589,0.00110589,0.00110589
104,1699.35,0.7051,0.39262,0.94263,0.99088,0.98531,0.99019,0.80864,0.77216,0.36442,0.99166,0.00110039,0.00110039,0.00110039
105,1713.03,0.68325,0.38619,0.94677,0.97781,0.99419,0.98729,0.80778,0.7756,0.35564,0.98189,0.00109489,0.00109489,0.00109489
106,1727.25,0.69417,0.39341,0.9511,0.97101,0.99419,0.98907,0.81272,0.77949,0.36038,0.999,0.00108938,0.00108938,0.00108938
107,1744.15,0.68783,0.3864,0.94741,0.97582,0.98733,0.98846,0.81589,0.74569,0.35619,0.96976,0.00108388,0.00108388,0.00108388
108,1760.93,0.6878,0.38572,0.94151,0.98124,0.98256,0.99006,0.80843,0.75271,0.36607,0.97314,0.00107838,0.00107838,0.00107838
109,1777.67,0.66968,0.38424,0.93379,0.98501,0.97813,0.98735,0.80182,0.76694,0.36076,0.99578,0.00107288,0.00107288,0.00107288
110,1794.37,0.67598,0.3777,0.94746,0.96149,0.98837,0.98565,0.81123,0.77058,0.35687,0.99574,0.00106738,0.00106738,0.00106738
111,1811.03,0.69355,0.3817,0.9498,0.98238,0.98547,0.98991,0.808,0.77302,0.36754,0.9884,0.00106188,0.00106188,0.00106188
112,1827.68,0.68838,0.38709,0.94625,0.97228,0.99183,0.98848,0.80228,0.77199,0.36171,0.98989,0.00105638,0.00105638,0.00105638
113,1844.29,0.67274,0.37864,0.94243,0.98357,0.97965,0.98625,0.80822,0.76281,0.36167,0.99328,0.00105088,0.00105088,0.00105088
114,1860.88,0.67181,0.37859,0.94229,0.9764,0.98454,0.98921,0.80203,0.75954,0.37053,0.98229,0.00104538,0.00104538,0.00104538
115,1877.47,0.68974,0.38601,0.94692,0.96723,0.98196,0.98177,0.79422,0.7608,0.3689,0.97857,0.00103987,0.00103987,0.00103987
116,1892.18,0.67575,0.381,0.93621,0.97818,0.99013,0.98859,0.80247,0.75906,0.36963,0.98916,0.00103437,0.00103437,0.00103437
117,1905.51,0.66953,0.37193,0.93618,0.97318,0.98837,0.98639,0.8015,0.78002,0.36,0.99086,0.00102887,0.00102887,0.00102887
118,1918.89,0.67219,0.37164,0.9394,0.98402,0.96435,0.98579,0.80641,0.75172,0.36377,0.97018,0.00102337,0.00102337,0.00102337
119,1934.11,0.6663,0.37469,0.93005,0.96953,0.98725,0.98526,0.8026,0.76085,0.35991,0.98739,0.00101787,0.00101787,0.00101787
120,1950.95,0.66757,0.37607,0.94166,0.97937,0.98421,0.98523,0.80458,0.78023,0.36724,0.98562,0.00101237,0.00101237,0.00101237
121,1967.72,0.67556,0.37804,0.93762,0.9799,0.98837,0.99031,0.81036,0.74987,0.35458,0.98104,0.00100687,0.00100687,0.00100687
122,1984.45,0.6683,0.37423,0.93751,0.98807,0.97965,0.988,0.80789,0.7629,0.3573,0.99189,0.00100137,0.00100137,0.00100137
123,2001.14,0.66252,0.37136,0.94566,0.97639,0.98547,0.98701,0.81427,0.74746,0.34307,0.98212,0.000995866,0.000995866,0.000995866
124,2017.79,0.66083,0.37525,0.94922,0.96952,0.99378,0.98748,0.80959,0.76339,0.34746,0.98147,0.000990365,0.000990365,0.000990365
125,2034.44,0.65649,0.36867,0.92568,0.97342,0.98837,0.98951,0.82039,0.73324,0.34339,0.97166,0.000984864,0.000984864,0.000984864
126,2051.11,0.67558,0.37646,0.94159,0.97745,0.98451,0.98564,0.81222,0.74305,0.35001,0.97644,0.000979362,0.000979362,0.000979362
127,2067.74,0.67266,0.37472,0.93832,0.9667,0.99062,0.98961,0.80681,0.76308,0.35036,0.98933,0.000973861,0.000973861,0.000973861
128,2082.92,0.64597,0.36391,0.92281,0.97138,0.98547,0.98517,0.80981,0.74443,0.34831,0.97756,0.00096836,0.00096836,0.00096836
129,2096.26,0.65545,0.36732,0.93167,0.97087,0.98547,0.98723,0.81235,0.75973,0.35074,0.98914,0.000962859,0.000962859,0.000962859
130,2109.64,0.65093,0.36127,0.92672,0.97842,0.98672,0.98697,0.80731,0.75933,0.34762,0.98855,0.000957358,0.000957358,0.000957358
131,2124.69,0.65711,0.36773,0.93904,0.97557,0.98497,0.98576,0.81337,0.76278,0.34952,0.98219,0.000951857,0.000951857,0.000951857
132,2141.56,0.64025,0.36497,0.93145,0.96465,0.98787,0.98364,0.81366,0.7536,0.34691,0.9882,0.000946356,0.000946356,0.000946356
