epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,618.335,0.79019,0.46602,0.9934,0.98535,0.98256,0.99006,0.78774,0.79031,0.42191,0.98934,0.00132868,0.00132868,0.00132868
43,633.298,0.76923,0.45719,0.97279,0.98135,0.97674,0.98459,0.77835,0.81694,0.40805,1.00874,0.00132043,0.00132043,0.00132043
44,650.142,0.78614,0.45956,0.98256,0.9737,0.98547,0.98705,0.78825,0.77754,0.41904,0.99218,0.00131218,0.00131218,0.00131218
45,666.823,0.78509,0.45733,0.98826,0.96678,0.98837,0.98674,0.78261,0.81339,0.42784,0.99892,0.00130393,0.00130393,0.00130393
46,683.293,0.77179,0.45075,0.97626,0.98114,0.98547,0.99036,0.78257,0.78152,0.4057,0.9902,0.00129568,0.00129568,0.00129568
47,696.557,0.78356,0.45662,0.982,0.98975,0.97879,0.98611,0.79057,0.79439,0.39957,0.99285,0.00128742,0.00128742,0.00128742
48,709.896,0.77978,0.45337,0.97943,0.98694,0.98256,0.98761,0.79001,0.7967,0.39739,0.99937,0.00127917,0.00127917,0.00127917
49,723.242,0.75719,0.44913,0.97621,0.9769,0.99075,0.9909,0.79915,0.77449,0.40154,0.97477,0.00127092,0.00127092,0.00127092
50,738.434,0.75969,0.44736,0.97119,0.97067,0.97965,0.98665,0.79876,0.76174,0.39445,0.9783,0.00126267,0.00126267,0.00126267
51,755.25,0.75126,0.44628,0.97736,0.96806,0.99128,0.98624,0.78586,0.77222,0.41007,0.97854,0.00125442,0.00125442,0.00125442
52,771.924,0.75547,0.44498,0.97902,0.97895,0.99388,0.99084,0.78475,0.79586,0.40499,0.99645,0.00124617,0.00124617,0.00124617
53,788.552,0.74799,0.43273,0.96502,0.97128,0.98547,0.98999,0.78487,0.7978,0.41254,0.99018,0.00123791,0.00123791,0.00123791
54,805.165,0.76674,0.43924,0.97603,0.97826,0.97409,0.98673,0.79486,0.76962,0.39298,0.98109,0.00122966,0.00122966,0.00122966
55,820.932,0.75501,0.44778,0.97052,0.98634,0.97865,0.98779,0.78605,0.76663,0.40711,0.9902,0.00122141,0.00122141,0.00122141
56,834.212,0.74151,0.4312,0.96641,0.98189,0.98837,0.99034,0.79818,0.77447,0.39711,0.98206,0.00121316,0.00121316,0.00121316
57,847.515,0.76082,0.44346,0.98092,0.97129,0.98547,0.98686,0.79697,0.79774,0.39447,1.00834,0.00120491,0.00120491,0.00120491
58,860.856,0.74858,0.43927,0.96899,0.98888,0.97093,0.98864,0.7901,0.78678,0.39701,0.9893,0.00119666,0.00119666,0.00119666
59,875.977,0.74347,0.43687,0.96916,0.97254,0.99239,0.98632,0.79723,0.77148,0.39976,0.9814,0.0011884,0.0011884,0.0011884
60,892.923,0.73671,0.42975,0.96447,0.97205,0.97235,0.98618,0.79508,0.78213,0.3955,0.98626,0.00118015,0.00118015,0.00118015
61,909.676,0.7273,0.4282,0.95677,0.9815,0.97643,0.9868,0.80166,0.77431,0.3822,0.98743,0.0011719,0.0011719,0.0011719
62,926.382,0.74083,0.43197,0.96608,0.97665,0.98547,0.98571,0.79676,0.78769,0.39789,1.00088,0.00116365,0.00116365,0.00116365
63,941.507,0.72992,0.41968,0.95982,0.98024,0.97965,0.98972,0.7983,0.77479,0.39246,0.98497,0.0011554,0.0011554,0.0011554
64,954.844,0.72721,0.42479,0.96334,0.96768,0.99362,0.98901,0.80186,0.77573,0.39195,0.98275,0.00114715,0.00114715,0.00114715
65,968.253,0.74502,0.42096,0.96357,0.97013,0.98578,0.98835,0.79646,0.76413,0.38618,0.98247,0.00113889,0.00113889,0.00113889
